cluster,predicted_cell_type_v2,Neuron_inhibitory,Neuron_excitatory,Oligodendrocyte,OPC,Astrocyte,Microglia,Endothelial,Pericyte_VSMC,Ependymal
0,Neuron_excitatory,0.022409297174222086,1.6110331289765625,0.09828592939273961,0.009047563137542668,0.13786731311647352,0.015438901213459097,0.005125236823496032,0.12429951209940793,0.00407331050777938
1,Oligodendrocyte,0.04054922778612006,0.2020113548847042,3.9982076976962193,0.4966199375048861,0.2717062684695717,0.030770032261401407,0.011922815524169392,0.03611995694020291,0.021843697140817984
10,Pericyte_VSMC,0.08986808355288446,0.6660647901927498,1.2283966979611076,0.3358606520708065,0.6736182878924661,0.07646408886108487,0.0762426241427472,2.3305395941233416,0.005606658277119246
11,Oligodendrocyte,0.07637777238923672,0.3690072664433449,3.5184428126839666,0.48105810813799454,1.7262809905349767,0.05278332717865636,0.018814885834269456,0.04409610955474975,0.020205580182511142
2,Neuron_excitatory,0.06444468113749183,1.2162088279681398,0.23802961533801087,0.01674062922513829,0.3301384857610167,0.013386084386327329,0.009641332216580685,0.11055101885337232,0.004044682290761518
3,Neuron_inhibitory,2.2320298862467034,0.6501006311465695,0.1488643296138933,0.01583121093360774,0.22623629964095845,0.00869971951697249,0.011731721552616214,0.09268145475599757,0.00284335726568415
4,Oligodendrocyte,0.17614574138276248,0.7383376098996506,3.0666111370762446,0.44790288918949833,0.3192235313623104,0.013381620553721453,0.0247754088609987,0.08094812251082094,0.02139948517085788
5,Endothelial,0.11094592654755321,0.648200890525966,0.5571211196750724,0.12666667411151192,0.5777893937122177,0.026286824892700053,1.096484035187869,0.5532393288260905,0.004376434177762963
6,Astrocyte,0.11369384933264155,0.6265822963451592,0.4105744609193992,0.14421376356525664,2.8096187760939646,0.022383500967216786,0.026650955888667092,0.07880854763947812,0.024643986615504827
7,Neuron_excitatory,0.09124644232770565,1.2388532796779412,0.7812021608967079,0.14882157997845186,0.8588593984092437,0.708585241262497,0.05691652687793718,0.1328078315604763,0.011237828652689536
8,Oligodendrocyte,0.11016650946352742,0.36167333591205797,2.643655372721706,0.29146751365810136,0.5101385402698948,0.04308010816592543,0.4248071077319022,0.16424397326087833,0.40731341064084187
9,Microglia,0.08128474130486801,0.36329613350519846,1.5705416201395752,0.2020782696451744,0.48929731136338245,1.7979830420796374,0.21907046615242579,0.17637521825080432,0.006692955118822825
